Mission,Unit,Unit Count,Date,Mission Value,SORTS Value,Degree of Separation
Core,Unit 03,75,2023-03-15,2,0,2
Core,Unit 03,75,2023-04-15,2,1,1
Core,Unit 03,75,2023-05-15,2,0,2
Core,Unit 03,75,2023-06-15,1,0,1
Core,Unit 03,75,2023-07-15,1,1,0
Core,Unit 03,75,2023-08-15,2,1,1
Core,Unit 03,75,2023-09-15,0,1,1
Core,Unit 03,75,2023-10-15,1,0,1
Core,Unit 03,75,2023-11-15,0,2,2
Core,Unit 03,75,2023-12-15,2,0,2
Core,Unit 03,75,2024-01-15,2,0,2
Core,Unit 03,75,2024-02-15,2,2,0
Core,Unit 04,75,2022-03-15,1,0,1
Core,Unit 04,75,2022-04-15,2,0,2
Core,Unit 04,75,2022-05-15,1,0,1
Core,Unit 04,75,2022-06-15,0,1,1
Core,Unit 04,75,2022-07-15,0,2,2
Core,Unit 04,75,2022-08-15,1,0,1
Core,Unit 04,75,2022-09-15,0,1,1
Core,Unit 04,75,2022-10-15,0,2,2
Core,Unit 04,75,2022-11-15,2,1,1
Core,Unit 04,75,2022-12-15,1,0,1
Core,Unit 04,75,2023-01-15,1,0,1
Core,Unit 04,75,2023-02-15,1,0,1
Core,Unit 04,75,2023-03-15,1,0,1
Core,Unit 04,75,2023-04-15,2,1,1
Core,Unit 04,75,2023-05-15,0,1,1
Core,Unit 04,75,2023-06-15,1,0,1
Core,Unit 04,75,2023-07-15,2,2,0
Core,Unit 04,75,2023-08-15,0,2,2
Core,Unit 04,75,2023-09-15,1,1,0
Core,Unit 04,75,2023-10-15,2,1,1
Core,Unit 04,75,2023-11-15,0,2,2
Core,Unit 04,75,2023-12-15,1,0,1
Core,Unit 04,75,2024-01-15,2,2,0
Core,Unit 04,75,2024-02-15,1,1,0
Core,Unit 05,75,2022-03-15,0,2,2
Core,Unit 05,75,2022-04-15,2,1,1
Core,Unit 05,75,2022-05-15,1,0,1
Core,Unit 05,75,2022-06-15,1,0,1
Core,Unit 05,75,2022-07-15,2,0,2
Core,Unit 05,75,2022-08-15,1,0,1
Core,Unit 05,75,2022-09-15,0,2,2
Core,Unit 05,75,2022-10-15,2,0,2
Core,Unit 05,75,2022-11-15,0,1,1
Core,Unit 05,75,2022-12-15,2,0,2
Core,Unit 05,75,2023-01-15,0,2,2
Core,Unit 05,75,2023-02-15,2,0,2
Core,Unit 05,75,2023-03-15,1,0,1
Core,Unit 05,75,2023-04-15,2,1,1
Core,Unit 05,75,2023-05-15,0,2,2
Core,Unit 05,75,2023-06-15,2,1,1
Core,Unit 05,75,2023-07-15,2,0,2
Core,Unit 05,75,2023-08-15,2,0,2
Core,Unit 05,75,2023-09-15,1,1,0
Core,Unit 05,75,2023-10-15,2,0,2
Core,Unit 05,75,2023-11-15,2,0,2
Core,Unit 05,75,2023-12-15,2,1,1
Core,Unit 05,75,2024-01-15,0,2,2
Core,Unit 05,75,2024-02-15,1,1,0
Core,Unit 06,75,2022-03-15,2,1,1
Core,Unit 06,75,2022-04-15,1,0,1
Core,Unit 06,75,2022-05-15,0,2,2
Core,Unit 06,75,2022-06-15,0,2,2
Core,Unit 06,75,2022-07-15,0,2,2
Core,Unit 06,75,2022-08-15,1,0,1
Core,Unit 06,75,2022-09-15,1,0,1
Core,Unit 06,75,2022-10-15,1,0,1
Core,Unit 06,75,2022-11-15,0,1,1
Core,Unit 06,75,2022-12-15,0,2,2
Core,Unit 06,75,2023-01-15,1,0,1
Core,Unit 06,75,2023-02-15,0,2,2
Core,Unit 06,75,2023-03-15,1,0,1
Core,Unit 06,75,2023-04-15,1,0,1
Core,Unit 06,75,2023-05-15,1,1,0
Core,Unit 06,75,2023-06-15,1,0,1
Core,Unit 06,75,2023-07-15,1,0,1
Core,Unit 06,75,2023-08-15,1,0,1
Core,Unit 06,75,2023-09-15,2,1,1
Core,Unit 06,75,2023-10-15,2,0,2
Core,Unit 06,75,2023-11-15,0,0,0
Core,Unit 06,75,2023-12-15,0,1,1
Core,Unit 06,75,2024-01-15,2,2,0
Core,Unit 06,75,2024-02-15,1,1,0
Core,Unit 07,75,2022-03-15,0,1,1
Core,Unit 07,75,2022-04-15,2,0,2
Core,Unit 07,75,2022-05-15,0,2,2
Core,Unit 07,75,2022-06-15,1,0,1
Core,Unit 07,75,2022-07-15,2,0,2
Core,Unit 07,75,2022-08-15,0,2,2
Core,Unit 07,75,2022-09-15,0,1,1
Core,Unit 07,75,2022-10-15,1,0,1
Core,Unit 07,75,2022-11-15,0,2,2
Core,Unit 07,75,2022-12-15,2,0,2
Core,Unit 07,75,2023-01-15,2,1,1
Core,Unit 07,75,2023-02-15,0,1,1
Core,Unit 07,75,2023-03-15,1,0,1
Core,Unit 07,75,2023-04-15,2,1,1
Core,Unit 07,75,2023-05-15,2,0,2
Core,Unit 07,75,2023-06-15,0,2,2
Core,Unit 07,75,2023-07-15,2,0,2
Core,Unit 07,75,2023-08-15,2,2,0
Core,Unit 07,75,2023-09-15,1,1,0
Core,Unit 07,75,2023-10-15,1,0,1
Core,Unit 07,75,2023-11-15,1,0,1
Core,Unit 07,75,2023-12-15,0,1,1
Core,Unit 07,75,2024-01-15,2,1,1
Core,Unit 07,75,2024-02-15,1,1,0
Core,Unit 08,75,2022-03-15,0,2,2
Core,Unit 08,75,2022-04-15,2,0,2
Core,Unit 08,75,2022-05-15,0,0,0
Core,Unit 08,75,2022-06-15,0,1,1
Core,Unit 08,75,2022-07-15,0,2,2
Core,Unit 08,75,2022-08-15,0,2,2
Core,Unit 08,75,2022-09-15,0,2,2
Core,Unit 08,75,2022-10-15,0,0,0
Core,Unit 08,75,2022-11-15,2,0,2
Core,Unit 08,75,2022-12-15,0,2,2
Core,Unit 08,75,2023-01-15,1,0,1
Core,Unit 08,75,2023-02-15,2,0,2
Core,Unit 08,75,2023-03-15,2,0,2
Core,Unit 08,75,2023-04-15,1,0,1
Core,Unit 08,75,2023-05-15,1,0,1
Core,Unit 08,75,2023-06-15,1,0,1
Core,Unit 08,75,2023-07-15,0,1,1
Core,Unit 08,75,2023-08-15,2,0,2
Core,Unit 08,75,2023-09-15,1,0,1
Core,Unit 08,75,2023-10-15,0,2,2
Core,Unit 08,75,2023-11-15,1,0,1
Core,Unit 08,75,2023-12-15,2,0,2
Core,Unit 08,75,2024-01-15,2,2,0
Core,Unit 08,75,2024-02-15,0,0,0
Core,Unit 09,75,2022-03-15,1,0,1
Core,Unit 09,75,2022-04-15,0,2,2
Core,Unit 09,75,2022-05-15,2,1,1
Core,Unit 09,75,2022-06-15,2,0,2
Core,Unit 09,75,2022-07-15,1,0,1
Core,Unit 09,75,2022-08-15,1,0,1
Core,Unit 09,75,2022-09-15,1,0,1
Core,Unit 09,75,2022-10-15,0,2,2
Core,Unit 09,75,2022-11-15,1,0,1
Core,Unit 09,75,2022-12-15,1,0,1
Core,Unit 09,75,2023-01-15,2,0,2
Core,Unit 09,75,2023-02-15,1,0,1
Core,Unit 09,75,2023-03-15,1,0,1
Core,Unit 09,75,2023-04-15,0,2,2
Core,Unit 09,75,2023-05-15,0,2,2
Core,Unit 09,75,2023-06-15,0,2,2
Core,Unit 09,75,2023-07-15,2,1,1
Core,Unit 09,75,2023-08-15,1,0,1
Core,Unit 09,75,2023-09-15,2,0,2
Core,Unit 09,75,2023-10-15,1,0,1
Core,Unit 09,75,2023-11-15,2,2,0
Core,Unit 09,75,2023-12-15,0,0,0
Core,Unit 09,75,2024-01-15,1,1,0
Core,Unit 09,75,2024-02-15,1,1,0
Core,Unit 10,75,2022-03-15,2,0,2
Core,Unit 10,75,2022-04-15,2,0,2
Core,Unit 10,75,2022-05-15,2,1,1
Core,Unit 10,75,2022-06-15,1,0,1
Core,Unit 10,75,2022-07-15,1,0,1
Core,Unit 10,75,2022-08-15,2,1,1
Core,Unit 10,75,2022-09-15,1,0,1
Core,Unit 10,75,2022-10-15,2,0,2
Core,Unit 10,75,2022-11-15,1,0,1
Core,Unit 10,75,2022-12-15,1,0,1
Core,Unit 10,75,2023-01-15,1,0,1
Core,Unit 10,75,2023-02-15,1,0,1
Core,Unit 10,75,2023-03-15,2,2,0
Core,Unit 10,75,2023-04-15,2,1,1
Core,Unit 10,75,2023-05-15,0,2,2
Core,Unit 10,75,2023-06-15,2,1,1
Core,Unit 10,75,2023-07-15,0,2,2
Core,Unit 10,75,2023-08-15,1,0,1
Core,Unit 10,75,2023-09-15,2,1,1
Core,Unit 10,75,2023-10-15,2,0,2
Core,Unit 10,75,2023-11-15,2,0,2
Core,Unit 10,75,2023-12-15,1,1,0
Core,Unit 10,75,2024-01-15,1,0,1
Core,Unit 10,75,2024-02-15,1,1,0
Core,Unit 11,75,2022-03-15,0,1,1
Core,Unit 11,75,2022-04-15,0,2,2
Core,Unit 11,75,2022-05-15,1,0,1
Core,Unit 11,75,2022-06-15,2,0,2
Core,Unit 11,75,2022-07-15,0,1,1
Core,Unit 11,75,2022-08-15,2,0,2
Core,Unit 11,75,2022-09-15,2,0,2
Core,Unit 11,75,2022-10-15,1,0,1
Core,Unit 11,75,2022-11-15,1,0,1
Core,Unit 11,75,2022-12-15,2,0,2
Core,Unit 11,75,2023-01-15,2,0,2
Core,Unit 11,75,2023-02-15,2,0,2
Core,Unit 11,75,2023-03-15,0,0,0
Core,Unit 11,75,2023-04-15,0,2,2
Core,Unit 11,75,2023-05-15,1,0,1
Core,Unit 11,75,2023-06-15,0,1,1
Core,Unit 11,75,2023-07-15,0,1,1
Core,Unit 11,75,2023-08-15,2,2,0
Core,Unit 11,75,2023-09-15,2,1,1
Core,Unit 11,75,2023-10-15,1,0,1
Core,Unit 11,75,2023-11-15,0,0,0
Core,Unit 11,75,2023-12-15,0,0,0
Core,Unit 11,75,2024-01-15,1,0,1
Core,Unit 11,75,2024-02-15,2,2,0
Core,Unit 12,75,2022-03-15,0,1,1
Core,Unit 12,75,2022-04-15,0,1,1
Core,Unit 12,75,2022-05-15,2,0,2
Core,Unit 12,75,2022-06-15,2,0,2
Core,Unit 12,75,2022-07-15,0,2,2
Core,Unit 12,75,2022-08-15,2,0,2
Core,Unit 12,75,2022-09-15,0,1,1
Core,Unit 12,75,2022-10-15,1,0,1
Core,Unit 12,75,2022-11-15,2,0,2
Core,Unit 12,75,2022-12-15,0,2,2
Core,Unit 12,75,2023-01-15,0,2,2
Core,Unit 12,75,2023-02-15,2,0,2
Core,Unit 12,75,2023-03-15,2,0,2
Core,Unit 12,75,2023-04-15,2,1,1
Core,Unit 12,75,2023-05-15,0,1,1
Core,Unit 12,75,2023-06-15,0,2,2
Core,Unit 12,75,2023-07-15,2,0,2
Core,Unit 12,75,2023-08-15,2,0,2
Core,Unit 12,75,2023-09-15,1,0,1
Core,Unit 12,75,2023-10-15,2,1,1
Core,Unit 12,75,2023-11-15,2,1,1
Core,Unit 12,75,2023-12-15,2,1,1
Core,Unit 12,75,2024-01-15,2,1,1
Core,Unit 12,75,2024-02-15,0,0,0
Core,Unit 13,75,2022-03-15,2,1,1
Core,Unit 13,75,2022-04-15,1,0,1
Core,Unit 13,75,2022-05-15,2,1,1
Core,Unit 13,75,2022-06-15,1,0,1
Core,Unit 13,75,2022-07-15,2,1,1
Core,Unit 13,75,2022-08-15,2,2,0
Core,Unit 13,75,2022-09-15,1,0,1
Core,Unit 13,75,2022-10-15,2,0,2
Core,Unit 13,75,2022-11-15,1,0,1
Core,Unit 13,75,2022-12-15,0,1,1
Core,Unit 13,75,2023-01-15,2,1,1
Core,Unit 13,75,2023-02-15,0,1,1
Core,Unit 13,75,2023-03-15,0,2,2
Core,Unit 13,75,2023-04-15,1,0,1
Core,Unit 13,75,2023-05-15,2,2,0
Core,Unit 13,75,2023-06-15,1,0,1
Core,Unit 13,75,2023-07-15,2,0,2
Core,Unit 13,75,2023-08-15,1,0,1
Core,Unit 13,75,2023-09-15,1,0,1
Core,Unit 13,75,2023-10-15,0,2,2
Core,Unit 13,75,2023-11-15,2,2,0
Core,Unit 13,75,2023-12-15,0,2,2
Core,Unit 13,75,2024-01-15,1,1,0
Core,Unit 13,75,2024-02-15,1,1,0
Core,Unit 14,75,2022-03-15,0,1,1
Core,Unit 14,75,2022-04-15,1,0,1
Core,Unit 14,75,2022-05-15,1,0,1
Core,Unit 14,75,2022-06-15,2,0,2
Core,Unit 14,75,2022-07-15,1,0,1
Core,Unit 14,75,2022-08-15,2,1,1
Core,Unit 14,75,2022-09-15,0,1,1
Core,Unit 14,75,2022-10-15,1,0,1
Core,Unit 14,75,2022-11-15,2,0,2
Core,Unit 14,75,2022-12-15,0,1,1
Core,Unit 14,75,2023-01-15,0,1,1
Core,Unit 14,75,2023-02-15,0,2,2
Core,Unit 14,75,2023-03-15,2,1,1
Core,Unit 14,75,2023-04-15,0,1,1
Core,Unit 14,75,2023-05-15,1,0,1
Core,Unit 14,75,2023-06-15,0,2,2
Core,Unit 14,75,2023-07-15,2,1,1
Core,Unit 14,75,2023-08-15,0,1,1
Core,Unit 14,75,2023-09-15,2,0,2
Core,Unit 14,75,2023-10-15,2,0,2
Core,Unit 14,75,2023-11-15,1,0,1
Core,Unit 14,75,2023-12-15,2,2,0
Core,Unit 14,75,2024-01-15,1,1,0
Core,Unit 14,75,2024-02-15,2,2,0
Core,Unit 15,75,2022-03-15,2,1,1
Core,Unit 15,75,2022-04-15,0,1,1
Core,Unit 15,75,2022-05-15,2,0,2
Core,Unit 15,75,2022-06-15,2,0,2
Core,Unit 15,75,2022-07-15,0,1,1
Core,Unit 15,75,2022-08-15,2,1,1
Core,Unit 15,75,2022-09-15,1,0,1
Core,Unit 15,75,2022-10-15,0,2,2
Core,Unit 15,75,2022-11-15,2,0,2
Core,Unit 15,75,2022-12-15,1,0,1
Core,Unit 15,75,2023-01-15,0,2,2
Core,Unit 15,75,2023-02-15,0,2,2
Core,Unit 15,75,2023-03-15,0,0,0
Core,Unit 15,75,2023-04-15,0,1,1
Core,Unit 15,75,2023-05-15,1,0,1
Core,Unit 15,75,2023-06-15,2,1,1
Core,Unit 15,75,2023-07-15,2,1,1
Core,Unit 15,75,2023-08-15,2,0,2
Core,Unit 15,75,2023-09-15,0,0,0
Core,Unit 15,75,2023-10-15,1,1,0
Core,Unit 15,75,2023-11-15,0,2,2
Core,Unit 15,75,2023-12-15,0,2,2
Core,Unit 15,75,2024-01-15,1,1,0
Core,Unit 15,75,2024-02-15,1,1,0
Core,Unit 16,75,2022-03-15,2,0,2
Core,Unit 16,75,2022-04-15,2,0,2
Core,Unit 16,75,2022-05-15,0,2,2
Core,Unit 16,75,2022-06-15,0,1,1
Core,Unit 16,75,2022-07-15,2,0,2
Core,Unit 16,75,2022-08-15,2,1,1
Core,Unit 16,75,2022-09-15,2,1,1
Core,Unit 16,75,2022-10-15,0,2,2
Core,Unit 16,75,2022-11-15,2,0,2
Core,Unit 16,75,2022-12-15,1,0,1
Core,Unit 16,75,2023-01-15,2,0,2
Core,Unit 16,75,2023-02-15,2,0,2
Core,Unit 16,75,2023-03-15,2,1,1
Core,Unit 16,75,2023-04-15,0,1,1
Core,Unit 16,75,2023-05-15,0,2,2
Core,Unit 16,75,2023-06-15,2,0,2
Core,Unit 16,75,2023-07-15,0,1,1
Core,Unit 16,75,2023-08-15,1,0,1
Core,Unit 16,75,2023-09-15,2,0,2
Core,Unit 16,75,2023-10-15,0,1,1
Core,Unit 16,75,2023-11-15,2,1,1
Core,Unit 16,75,2023-12-15,0,1,1
Core,Unit 16,75,2024-01-15,2,0,2
Core,Unit 16,75,2024-02-15,2,2,0
Core,Unit 17,75,2022-03-15,1,0,1
Core,Unit 17,75,2022-04-15,0,2,2
Core,Unit 17,75,2022-05-15,2,0,2
Core,Unit 17,75,2022-06-15,0,0,0
Core,Unit 17,75,2022-07-15,1,0,1
Core,Unit 17,75,2022-08-15,2,0,2
Core,Unit 17,75,2022-09-15,1,0,1
Core,Unit 17,75,2022-10-15,1,0,1
Core,Unit 17,75,2022-11-15,1,0,1
Core,Unit 17,75,2022-12-15,2,1,1
Core,Unit 17,75,2023-01-15,0,2,2
Core,Unit 17,75,2023-02-15,1,0,1
Core,Unit 17,75,2023-03-15,0,2,2
Core,Unit 17,75,2023-04-15,2,2,0
Core,Unit 17,75,2023-05-15,0,2,2
Core,Unit 17,75,2023-06-15,0,2,2
Core,Unit 17,75,2023-07-15,0,2,2
Core,Unit 17,75,2023-08-15,2,1,1
Core,Unit 17,75,2023-09-15,0,1,1
Core,Unit 17,75,2023-10-15,0,1,1
Core,Unit 17,75,2023-11-15,0,2,2
Core,Unit 17,75,2023-12-15,1,1,0
Core,Unit 17,75,2024-01-15,2,2,0
Core,Unit 17,75,2024-02-15,0,0,0
Core,Unit 18,75,2022-03-15,0,1,1
Core,Unit 18,75,2022-04-15,2,1,1
Core,Unit 18,75,2022-05-15,0,2,2
Core,Unit 18,75,2022-06-15,1,0,1
Core,Unit 18,75,2022-07-15,0,1,1
Core,Unit 18,75,2022-08-15,0,1,1
Core,Unit 18,75,2022-09-15,1,0,1
Core,Unit 18,75,2022-10-15,1,0,1
Core,Unit 18,75,2022-11-15,0,2,2
Core,Unit 18,75,2022-12-15,1,0,1
Core,Unit 18,75,2023-01-15,1,0,1
Core,Unit 18,75,2023-02-15,1,0,1
Core,Unit 18,75,2023-03-15,2,1,1
Core,Unit 18,75,2023-04-15,0,1,1
Core,Unit 18,75,2023-05-15,2,0,2
Core,Unit 18,75,2023-06-15,1,0,1
Core,Unit 18,75,2023-07-15,1,0,1
Core,Unit 18,75,2023-08-15,2,1,1
Core,Unit 18,75,2023-09-15,1,0,1
Core,Unit 18,75,2023-10-15,2,1,1
Core,Unit 18,75,2023-11-15,2,1,1
Core,Unit 18,75,2023-12-15,1,0,1
Core,Unit 18,75,2024-01-15,1,1,0
Core,Unit 18,75,2024-02-15,2,2,0
Core,Unit 19,75,2022-03-15,0,2,2
Core,Unit 19,75,2022-04-15,1,0,1
Core,Unit 19,75,2022-05-15,2,1,1
Core,Unit 19,75,2022-06-15,1,0,1
Core,Unit 19,75,2022-07-15,0,1,1
Core,Unit 19,75,2022-08-15,1,0,1
Core,Unit 19,75,2022-09-15,1,0,1
Core,Unit 19,75,2022-10-15,2,0,2
Core,Unit 19,75,2022-11-15,0,1,1
Core,Unit 19,75,2022-12-15,2,0,2
Core,Unit 19,75,2023-01-15,0,1,1
Core,Unit 19,75,2023-02-15,1,0,1
Core,Unit 19,75,2023-03-15,1,0,1
Core,Unit 19,75,2023-04-15,2,0,2
Core,Unit 19,75,2023-05-15,2,0,2
Core,Unit 19,75,2023-06-15,0,2,2
Core,Unit 19,75,2023-07-15,0,1,1
Core,Unit 19,75,2023-08-15,2,2,0
Core,Unit 19,75,2023-09-15,0,1,1
Core,Unit 19,75,2023-10-15,0,0,0
Core,Unit 19,75,2023-11-15,1,1,0
Core,Unit 19,75,2023-12-15,0,0,0
Core,Unit 19,75,2024-01-15,1,0,1
Core,Unit 19,75,2024-02-15,0,0,0
Core,Unit 20,75,2022-03-15,0,1,1
Core,Unit 20,75,2022-04-15,1,0,1
Core,Unit 20,75,2022-05-15,2,0,2
Core,Unit 20,75,2022-06-15,1,0,1
Core,Unit 20,75,2022-07-15,0,1,1
Core,Unit 20,75,2022-08-15,0,2,2
Core,Unit 20,75,2022-09-15,0,1,1
Core,Unit 20,75,2022-10-15,1,0,1
Core,Unit 20,75,2022-11-15,1,0,1
Core,Unit 20,75,2022-12-15,0,1,1
Core,Unit 20,75,2023-01-15,2,1,1
Core,Unit 20,75,2023-02-15,0,2,2
Core,Unit 20,75,2023-03-15,1,0,1
Core,Unit 20,75,2023-04-15,1,0,1
Core,Unit 20,75,2023-05-15,1,0,1
Core,Unit 20,75,2023-06-15,2,2,0
Core,Unit 20,75,2023-07-15,2,0,2
Core,Unit 20,75,2023-08-15,0,2,2
Core,Unit 20,75,2023-09-15,1,0,1
Core,Unit 20,75,2023-10-15,0,1,1
Core,Unit 20,75,2023-11-15,2,2,0
Core,Unit 20,75,2023-12-15,1,0,1
Core,Unit 20,75,2024-01-15,2,0,2
Core,Unit 20,75,2024-02-15,2,2,0
Core,Unit 21,75,2022-03-15,2,0,2
Core,Unit 21,75,2022-04-15,2,0,2
Core,Unit 21,75,2022-05-15,1,0,1
Core,Unit 21,75,2022-06-15,2,1,1
Core,Unit 21,75,2022-07-15,2,1,1
Core,Unit 21,75,2022-08-15,0,1,1
Core,Unit 21,75,2022-09-15,0,2,2
Core,Unit 21,75,2022-10-15,1,0,1
Core,Unit 21,75,2022-11-15,2,0,2
Core,Unit 21,75,2022-12-15,2,0,2
Core,Unit 21,75,2023-01-15,1,0,1
Core,Unit 21,75,2023-02-15,1,0,1
Core,Unit 21,75,2023-03-15,2,0,2
Core,Unit 21,75,2023-04-15,2,1,1
Core,Unit 21,75,2023-05-15,1,0,1
Core,Unit 21,75,2023-06-15,2,1,1
Core,Unit 21,75,2023-07-15,0,2,2
Core,Unit 21,75,2023-08-15,1,0,1
Core,Unit 21,75,2023-09-15,0,0,0
Core,Unit 21,75,2023-10-15,1,1,0
Core,Unit 21,75,2023-11-15,1,1,0
Core,Unit 21,75,2023-12-15,0,2,2
Core,Unit 21,75,2024-01-15,2,2,0
Core,Unit 21,75,2024-02-15,2,2,0
Core,Unit 22,75,2022-03-15,1,0,1
Core,Unit 22,75,2022-04-15,1,0,1
Core,Unit 22,75,2022-05-15,1,1,0
Core,Unit 22,75,2022-06-15,1,0,1
Core,Unit 22,75,2022-07-15,2,0,2
Core,Unit 22,75,2022-08-15,1,0,1
Core,Unit 22,75,2022-09-15,1,0,1
Core,Unit 22,75,2022-10-15,0,1,1
Core,Unit 22,75,2022-11-15,0,2,2
Core,Unit 22,75,2022-12-15,2,1,1
Core,Unit 22,75,2023-01-15,2,0,2
Core,Unit 22,75,2023-02-15,2,1,1
Core,Unit 22,75,2023-03-15,0,2,2
Core,Unit 22,75,2023-04-15,0,1,1
Core,Unit 22,75,2023-05-15,0,2,2
Core,Unit 22,75,2023-06-15,0,1,1
Core,Unit 22,75,2023-07-15,1,1,0
Core,Unit 22,75,2023-08-15,2,0,2
Core,Unit 22,75,2023-09-15,0,0,0
Core,Unit 22,75,2023-10-15,2,1,1
Core,Unit 22,75,2023-11-15,0,2,2
Core,Unit 22,75,2023-12-15,1,1,0
Core,Unit 22,75,2024-01-15,2,1,1
Core,Unit 22,75,2024-02-15,2,2,0
Core,Unit 23,75,2022-03-15,0,1,1
Core,Unit 23,75,2022-04-15,0,1,1
Core,Unit 23,75,2022-05-15,0,1,1
Core,Unit 23,75,2022-06-15,2,2,0
Core,Unit 23,75,2022-07-15,1,0,1
Core,Unit 23,75,2022-08-15,2,0,2
Core,Unit 23,75,2022-09-15,2,0,2
Core,Unit 23,75,2022-10-15,0,1,1
Core,Unit 23,75,2022-11-15,2,0,2
Core,Unit 23,75,2022-12-15,1,0,1
Core,Unit 23,75,2023-01-15,1,0,1
Core,Unit 23,75,2023-02-15,1,0,1
Core,Unit 23,75,2023-03-15,0,0,0
Core,Unit 23,75,2023-04-15,1,0,1
Core,Unit 23,75,2023-05-15,2,0,2
Core,Unit 23,75,2023-06-15,2,0,2
Core,Unit 23,75,2023-07-15,1,0,1
Core,Unit 23,75,2023-08-15,1,0,1
Core,Unit 23,75,2023-09-15,2,1,1
Core,Unit 23,75,2023-10-15,0,2,2
Core,Unit 23,75,2023-11-15,1,0,1
Core,Unit 23,75,2023-12-15,2,1,1
Core,Unit 23,75,2024-01-15,0,1,1
Core,Unit 23,75,2024-02-15,0,0,0
Core,Unit 24,75,2022-03-15,1,0,1
Core,Unit 24,75,2022-04-15,2,0,2
Core,Unit 24,75,2022-05-15,2,0,2
Core,Unit 24,75,2022-06-15,1,1,0
Core,Unit 24,75,2022-07-15,1,0,1
Core,Unit 24,75,2022-08-15,2,0,2
Core,Unit 24,75,2022-09-15,0,1,1
Core,Unit 24,75,2022-10-15,0,2,2
Core,Unit 24,75,2022-11-15,2,1,1
Core,Unit 24,75,2022-12-15,0,2,2
Core,Unit 24,75,2023-01-15,0,2,2
Core,Unit 24,75,2023-02-15,1,0,1
Core,Unit 24,75,2023-03-15,2,0,2
Core,Unit 24,75,2023-04-15,2,0,2
Core,Unit 24,75,2023-05-15,0,1,1
Core,Unit 24,75,2023-06-15,0,1,1
Core,Unit 24,75,2023-07-15,2,0,2
Core,Unit 24,75,2023-08-15,2,0,2
Core,Unit 24,75,2023-09-15,2,1,1
Core,Unit 24,75,2023-10-15,2,1,1
Core,Unit 24,75,2023-11-15,1,0,1
Core,Unit 24,75,2023-12-15,0,0,0
Core,Unit 24,75,2024-01-15,2,0,2
Core,Unit 24,75,2024-02-15,1,1,0
Core,Unit 25,75,2022-03-15,2,0,2
Core,Unit 25,75,2022-04-15,1,0,1
Core,Unit 25,75,2022-05-15,1,0,1
Core,Unit 25,75,2022-06-15,2,0,2
