Field Comm	Delta	Reporting Unit	Location	Capability	Component	Squadron Type	Mission	Task Number	Task Title	Task Full Name	MET Display Title	MET Analytics Series	MET Analytics Code	MET Analytics Name	MET Analytics Sort	MET Measure Full Name	Measure	Criteria Met	REMARK
Field Comm 1	07	0073 INTL/SURVEIL/RECON SQ 0004	Schriever Space Force Base	PS3AA	Reserve	Force Generation	Core	AFST 2.5.1.3	Provide SIGINT Reporting on Specified Targets	AFST 2.5.1.3 - Provide SIGINT Reporting on Specified Targets	Provide SIGINT Reporting on Specified Targets in CDO environments	P	P007	Personnel	1	P007 - M02 -- Qualified personnel available to allow for timely satisfaction of all SIGINT reporting & dissemination requirements	M02 -- Qualified personnel available to allow for timely satisfaction of all SIGINT reporting & dissemination requirements	Y	P007 - er nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	03	0005 ELECTROMAG WARFARE SQ 0000	Patrick Space Force Base	ESDAA	Guard	Force Generation	Core	SN 3.5	Provide Space Capabilities	SN 3.5 - Provide Space Capabilities	Provide Space Capabilities in CDO Environments	P	P008	Personnel	1	P008 - Number of fully CMR certified and available crews	Number of fully CMR certified and available crews	N	iverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	09	0001 SPACE OPNS SQ 0000	New Boston Space Force Station	5SAAA	Active	Force Generation	Core	SFTA 3.5.2.6.2.1	Detect/Track/Identify Space-objects in support of Space-segment Space Domain Awareness	SFTA 3.5.2.6.2.1 - Detect/Track/Identify Space-objects in support of Space-segment Space Domain Awareness	Detect/Track/Identify Space-objects in support of Space-segment Space Domain Awareness	P	P008	Personnel	1	P008 - Number of fully CMR certified and available crews	Number of fully CMR certified and available crews	Y	NULL
Field Comm 3	05	0005 SPACE DE 0000	Buckley Space Force Base	7FVXA	Active	Force Generation	Core	AFTA 3.5.4.2.1	Plan, coordinate, allocate, task, optimize, integrate and execute operations in order to deliver space effects through the Combined Space Operations Center (CSpOC) in support of worldwide theater forces	AFTA 3.5.4.2.1 - Plan, coordinate, allocate, task, optimize, integrate and execute operations in order to deliver space effects through the Combined Space Operations Center (CSpOC) in support of worldwide theater forces	Plan, coordinate, allocate, task, optimize, integrate and execute operations in order to deliver space effects through the Combined Space Operations Center (CSpOC) in support of worldwide theater forces in CDO Environments	P	P008	Personnel	1	P008 - Number of fully CMR certified and available crews	Number of fully CMR certified and available crews	Y	P008 - elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0071 INTL/SURVEIL/RECON SQ 0002	Buckley Space Force Base	PS1AA	Active	Force Generation	Core	SFTA 2.2	Conduct Intelligence Functions	SFTA 2.2 - Conduct Intelligence Functions	Conduct Intelligence Functions	P	P009	Personnel	1	P009 - Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Y	P009 - r nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0071 INTL/SURVEIL/RECON SQ 0003	Buckley Space Force Base	PS1AA	Active	Force Generation	Core	SFTA 2.2	Conduct Intelligence Functions	SFTA 2.2 - Conduct Intelligence Functions	Conduct Intelligence Functions	P	P009	Personnel	1	P009 - Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Y	ociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0071 INTL/SURVEIL/RECON SQ 0006	Patrick Space Force Base	PS1AA	Active	Force Generation	Core	SFTA 2.2	Conduct Intelligence Functions	SFTA 2.2 - Conduct Intelligence Functions	Conduct Intelligence Functions	P	P009	Personnel	1	P009 - Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Y	a dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	07	0071 INTL/SURVEIL/RECON SQ 0009	Los Angeles Air Force Base	PS1AA	Reserve	Force Generation	Core	SFTA 2.2	Conduct Intelligence Functions	SFTA 2.2 - Conduct Intelligence Functions	Conduct Intelligence Functions	P	P009	Personnel	1	P009 - Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Y	nissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 2	07	0071 INTL/SURVEIL/RECON SQ 0008	New Boston Space Force Station	PS1AA	Active	Force Generation	Core	SFTA 2.2	Conduct Intelligence Functions	SFTA 2.2 - Conduct Intelligence Functions	Conduct Intelligence Functions	P	P009	Personnel	1	P009 - Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Of assigned intelligence personnel briefed to current and future special access programs and authorized to sanitize, summarize, and distribute special access program information and intelligence	Y	P009 - nectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	07	0071 INTL/SURVEIL/RECON SQ 0000	Buckley Space Force Base	PS1AA	Reserve	Force Generation	Core	SFTA 2.2.2	Present Intelligence, Surveillance, and Reconnaissance (ISR) Detachments to Enable Space Operations	SFTA 2.2.2 - Present Intelligence, Surveillance, and Reconnaissance (ISR) Detachments to Enable Space Operations	Present Intelligence, Surveillance, and Reconnaissance (ISR) Squadrons to Enable Space Operations	P	P010	Personnel	1	P010 - Of assigned personnel with necessary clearances level	Of assigned personnel with necessary clearances level	Y	P010 - um odor amet, consectetuer adipiscing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	04	0010 SPACE WARNING SQ 0000	Los Angeles Air Force Base	5SMGA	Active	Force Generation	Core	SFTA 7.4.2.1	Training and Crew Force Management	SFTA 7.4.2.1 - Training and Crew Force Management	Training and Crew Force Management	P	P011	Personnel	1	P011 - Of crew force of mission ready personnel maintained	Of crew force of mission ready personnel maintained	N	n semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 1	04	0011 SPACE WARNING SQ 0000	Cape Cod Space Force Station	5SMSA	Active	Force Generation	Core	SFTA 7.4.2.1	Training and Crew Force Management	SFTA 7.4.2.1 - Training and Crew Force Management	Training and Crew Force Management	P	P011	Personnel	1	P011 - Of crew force of mission ready personnel maintained	Of crew force of mission ready personnel maintained	Y	P011 - scing elit. Turpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	04	0012 SPACE WARNING SQ 0000	Patrick Space Force Base	5SMGA	Active	Force Generation	Core	SFTA 7.4.2.1	Training and Crew Force Management	SFTA 7.4.2.1 - Training and Crew Force Management	Training and Crew Force Management	P	P011	Personnel	1	P011 - Of crew force of mission ready personnel maintained	Of crew force of mission ready personnel maintained	Y	P011 - rpis enim viverra interdum ligula dignissim sollicitudin semper nunc. Sapien rhoncus torquent massa quis neque turpis augue. Odio arcu senectus curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
Field Comm 3	04	0013 SPACE WARNING SQ 0000	Cheyenne Mountain Space Force Station	5SMGA	Reserve	Force Generation	Core	SFTA 7.4.2.1	Training and Crew Force Management	SFTA 7.4.2.1 - Training and Crew Force Management	Training and Crew Force Management	P	P011	Personnel	1	P011 - Of crew force of mission ready personnel maintained	Of crew force of mission ready personnel maintained	Y	s curae dui sociosqu dictum laoreet. Magna molestie laoreet porta primis nostra porttitor. Nostra convallis nec rutrum mi accumsan. Fames aliquet tristique nibh eu quisque scelerisque. Ex nibh netus mauris metus metus vehicula. In urna tincidunt varius condimentum efficitur vivamus. Turpis maecenas viverra turpis mauris, sed mus fermentum. Aptent quisque parturient taciti mi fermentum. Cras purus sodales cubilia magnis nam cras. Ad lacinia mus posuere convallis libero congue porttitor. Luctus nibh fringilla sem diam nunc maximus sed. Eleifend nulla massa torquent laoreet; lacinia enim lobortis. Facilisi mattis odio non curae nulla. Ex ultricies ad cursus duis nulla lectus torquent.
