Garrison,Field Command,Delta,DRRS Reporting Unit,Reporting Unit,Location,Installation MET Type,Garrison Sort,Reporting Unit Sort
SBD 1 - Peterson/Schriever,SPOC,Delta 7,0074 INTL/SURVEIL/RECON SQ 0000,74 ISRS,Peterson Space Force Base,Receive,1,23
SBD 1 - Peterson/Schriever,SPOC,Delta 2,0002 SPACE DE 0001,"Delta 2, Det 1",Schriever Space Force Base,Receive,1,3
SBD 2 - Buckley,SPOC,SBD 2,0002 SPACE BASE DE 0000,SBD 2,Buckley Space Force Base,Provide,2,1
SBD 2 - Buckley,SPOC,Delta 4,0004 SPACE DE 0001,"Delta 4, Det 1",Buckley Space Force Base,Receive,2,2
SBD 2 - Buckley,SpOC,Delta 4,0002 SPACE WARNING SQ 0000,2 SWS,Buckley Space Force Base,Receive,2,3
SBD 2 - Buckley,SpOC,Delta 4,0003 SATELLITE COMM SQ 0000,3 SCS,Buckley Space Force Base,Receive,2,4
SBD 2 - Buckley,SpOC,Delta 4,0005 SPACE WARNING SQ 0000,5 SWS,Buckley Space Force Base,Receive,2,5
SBD 2 - Buckley,SpOC,Delta 4,0011 SPACE WARNING SQ 0000,11 SWS,Buckley Space Force Base,Receive,2,10
SBD 2 - Buckley,SPOC,Delta 6,0064 CYBERSPACE SQ 0000,64 CYS,Buckley Space Force Base,Receive,2,11
SBD 2 - Buckley,SPOC,Delta 7,0072 INTL/SURVEIL/RECON SQ 0007,"72 ISRS, Det 7",Buckley Space Force Base,Receive,2,12
SBD 3 - Los Angeles,SSC,SBD 3,0003 SPACE BASE DE 0000,SBD 3,Los Angeles Air Force Base,Provide,3,1
SBD 3 - Los Angeles,SPOC,SBD 3,0061 COMMUNICATIONS SQ 0000,61 COMS,Los Angeles Air Force Base,Receive,3,2
SLD 30 - Vandenberg,SSC,SLD 30,0030 SPACE LAUNCH DE 0000,SLD 30,Vandenberg Space Force Base,Provide,4,1
SLD 30 - Vandenberg,S4S,Delta 5,0005 SPACE DE 0000,Delta 5,Vandenberg Space Force Base,Receive,4,2
SLD 30 - Vandenberg,SSC,SLD 30,0002 SPACE LAUNCH SQ 0000,2 SLS,Vandenberg Space Force Base,Receive,4,4
SLD 30 - Vandenberg,SSC,SLD 30,0002 RANGE OPERATIONS SQ 0000,2 ROPS,Vandenberg Space Force Base,Receive,4,3
SLD 30 - Vandenberg,SPOC,Delta 2,0018 SPACE DEFENSE SQ 0000,18 SDS,Vandenberg Space Force Base,Receive,4,5
SLD 30 - Vandenberg,SPOC,Delta 6,0021 SPACE OPNS SQ 0000,21 SOPS,Vandenberg Space Force Base,Receive,4,6
SLD 30 - Vandenberg,SSC,SLD 30,0030 SPACE COMM SQ 0000,30 COMS,Vandenberg Space Force Base,Receive,4,7
SLD 30 - Vandenberg,SSC,SLD 30,0030 OPERATIONS SUPPORT SQ 0000,30 OSS,Vandenberg Space Force Base,Receive,4,8
SLD 30 - Vandenberg,SPOC,Delta 6,0065 CYBERSPACE SQ 0000,65 CYS,Vandenberg Space Force Base,Receive,4,9
SLD 30 - Vandenberg,SPOC,Delta 7,0071 INTL/SURVEIL/RECON SQ 0002,"71 ISRS, Det 2",Vandenberg Space Force Base,Receive,4,10
SLD 45 - Patrick,SSC,SLD 45,0045 SPACE LAUNCH DE 0000,SLD 45,Patrick Space Force Base,Provide,5,1
SLD 45 - Patrick,SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,1 ROPS,Patrick Space Force Base,Receive,5,2
SLD 45 - Patrick,SSC,SLD 45,0005 SPACE LAUNCH SQ 0000,5 SLS,Patrick Space Force Base,Receive,5,3
SLD 45 - Patrick,SPOC,Delta 6,0645 CYBERSPACE SQ 0000,645 CYS,Patrick Space Force Base,Receive,5,4
Other - CONUS,NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,1 SAS,Wright Patterson,Receive,6,1
Other - CONUS,NSIC,NSIC,0002 SPACE ANALYSIS SQ 0000,2 SAS,Wright Patterson,Receive,6,2
Other - CONUS,SPOC,Delta 8,0010 SPACE OPNS SQ 0000,10 SOPS,Point Mugu Naval Air Station,Receive,6,5
Other - CONUS,SpOC,Delta 4,0006 SPACE WARNING SQ 0000,6 SWS,Cape Cod Space Force Station,Receive,6,3
Other - CONUS,SpOC,Delta 4,0007 SPACE WARNING SQ 0000,7 SWS,Beale Air Force Base,Receive,6,4
Other - CONUS,SpOC,Delta 4,0010 SPACE WARNING SQ 0000,10 SWS,Cavalier Air Force Station,Receive,6,6
Other - CONUS,SPOC,Delta 2,0015 SPACE SURVEILLANCE SQ 0001,"15 SPSS, Det 1",Stallion Air Field,Receive,6,7
Other - CONUS,SPOC,Delta 2,0019 SPACE DEFENSE SQ 0000,19 SDS,Dahlgren,Receive,6,8
Other - CONUS,SPOC,Delta 2,0019 SPACE DEFENSE SQ 000A,19 SDS OL-A,Suitland,Receive,6,9
Other - CONUS,SPOC,Delta 2,0020 SPACE SURVEILLANCE SQ 0000,20 SPSS,Eglin Air Force Base,Receive,6,10
Other - CONUS,SPOC,Delta 6,0023 SPACE OPNS SQ 0000,23 SOPS,New Boston Space Force Station,Receive,6,11
Other - CONUS,SPOC,Delta 8,0053 SPACE OPNS SQ 0001,"53 SOPS, Det 1",Ft Detrick,Receive,6,12
Other - CONUS,SPOC,Delta 8,0053 SPACE OPNS SQ 0002,"53 SOPS, Det 2",Ft George Meade,Receive,6,13
Other - CONUS,SPOC,Delta 8,0053 SPACE OPNS SQ 0005,"53 SOPS, Det 5",Ft Buckner,Receive,6,14
Other - CONUS,SPOC,Delta 7,0072 INTL/SURVEIL/RECON SQ 0003,"72 ISRS, Det 3",Ft George Meade,Receive,6,15
Other - CONUS,SPOC,Delta 7,0072 INTL/SURVEIL/RECON SQ 0005,"72 ISRS, Det 5",Chantilly,Receive,6,16
Other - CONUS,SPOC,Delta 7,0073 INTL/SURVEIL/RECON SQ 0000,73 ISRS,Wright Patterson,Receive,6,17
Other - CONUS,SPOC,Delta 7,0073 INTL/SURVEIL/RECON SQ 0006,"73 ISRS, Det 6",Ft George Meade,Receive,6,18
Other - OCONUS,SpOC,Delta 4,0003 SATELLITE COMM SQ 000A,3 SCS OL-A,Other,Receive,7,1
Other - OCONUS,SpOC,Delta 4,0012 SPACE WARNING SQ 0000,12 SWS,"Pituffik, Greenland",Receive,7,6
Other - OCONUS,SpOC,Delta 4,0013 SPACE WARNING SQ 0000,13 SWS,Clear Air Force Station,Receive,7,7
Other - OCONUS,SpOC,Delta 4,0013 SPACE WARNING SQ 00CD,13 SWS OL-CD,Earckson Air Station,Receive,7,8
SBD 2 - Buckley,SpOC,Delta 4,0005 SPACE WARNING SQ 0001,"5 SWS, Det 1","Sigonella, Italy",Receive,7,2
Other - OCONUS,SPOC,Delta 2,0015 SPACE SURVEILLANCE SQ 0000,15 SPSS,Maui Island,Receive,7,9
SBD 2 - Buckley,SpOC,Delta 4,0005 SPACE WARNING SQ 0002,"5 SWS, Det 2","Al Udeid, Qatar",Receive,7,3
Other - OCONUS,SPOC,Delta 2,0015 SPACE SURVEILLANCE SQ 0002,"15 SPSS, Det 2",Diego Garcia Naval Air Station,Receive,7,10
SBD 2 - Buckley,SpOC,Delta 4,0005 SPACE WARNING SQ 0003,"5 SWS, Det 3","Osan, Korea",Receive,7,4
Other - OCONUS,SPOC,Delta 6,0021 SPACE OPNS SQ 0001,"21 SOPS, Det 1",Diego Garcia Naval Air Station,Receive,7,11
SBD 2 - Buckley,SpOC,Delta 4,0005 SPACE WARNING SQ 0004,"5 SWS, Det 4","Misawa, Japan",Receive,7,5
Other - OCONUS,SPOC,Delta 6,0021 SPACE OPNS SQ 0002,"21 SOPS, Det 2",Guam Area,Receive,7,12
Other - OCONUS,SPOC,Delta 6,0021 SPACE OPNS SQ 0003,"21 SOPS, Det 3",Kaena Point,Receive,7,13
Other - OCONUS,SPOC,Delta 6,0023 SPACE OPNS SQ 0001,"23 SOPS, Det 1","Pituffik, Greenland",Receive,7,14
Other - OCONUS,SPOC,Delta 8,0053 SPACE OPNS SQ 0003,"53 SOPS, Det 3",Landstuhl,Receive,7,15
Other - OCONUS,SPOC,Delta 8,0053 SPACE OPNS SQ 0004,"53 SOPS, Det 4",Wahiawa,Receive,7,16
Other - OCONUS,SPOC,Delta 7,0073 INTL/SURVEIL/RECON SQ 0002,"73 ISRS, Det 2",Osan ,Receive,7,17
Other - OCONUS,SPOC,Delta 7,0073 INTL/SURVEIL/RECON SQ 0004,"73 ISRS, Det 4",Feltwell,Receive,7,18
