Field Comm,Delta,Reporting Unit,Location,Capability,Component,Squadron Type,Mission,Task Number,Task Title,Task Full Name,MET Display Title,,MET Analytics Series,MET Analytics Code,MET Analytics Name,MET Analytics Sort,MET Measure Full Name,Measure,Criteria Met,REMARK
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0422,Installation,10,F0422 - Is fire suppresion adequate to meet mission requirements, Is fire suppresion adequate to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0430,Installation,10,F0430 - Is Facility adequate to meet mission requirements, Is Facility adequate to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0431,Installation,10,F0431 - Is work space adequate to meet mission requirements, Is work space adequate to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0432,Installation,10,F0432 - Is SCIF adequate to meet mission requirements, Is SCIF adequate to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0433,Installation,10,F0433 - Is COOP or alternate facility adequate to meet mission requirements, Is COOP or alternate facility adequate to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0440,Installation,10,F0440 - Receives adequate logistics readiness support to meet mission requirements, Receives adequate logistics readiness support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0441,Installation,10,F0441 - Receives adequate vehicle support to meet mission requirements, Receives adequate vehicle support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0450,Installation,10,F0450 - Receives adequate security and force protection support to meet mission requirements, Receives adequate security and force protection support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0601,Installation,10,F0601 - Receives adequate NIPR / SIPR / JWICS equipment and account support to meet mission requirements, Receives adequate NIPR / SIPR / JWICS equipment and account support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0602,Installation,10,F0602 - Receives adequate cyber defense support to meet mission requirements, Receives adequate cyber defense support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0910,Installation,10,F0910 - Are support agreements with outside agencies current and adequate to meet mission requirements, Are support agreements with outside agencies current and adequate to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0411,Installation,10,F0411 - Is commercial power adequate to meet mission requirements, Is commercial power adequate to meet mission requirements,N,"F0411 - The commercial power provider is dealing with disputes over energy pricing and contracts, affecting service continuity."
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0600,Installation,10,F0600 - Receives adequate communications support to meet mission requirements, Receives adequate communications support to meet mission requirements,N,"F0600 - We are facing a shortfall in communications equipment to meet operational standards, with only 78% of the required equipment available."
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0900,Installation,10,F0900 - Receives adequate medical support to meet mission requirements, Receives adequate medical support to meet mission requirements,N,F0900 - High turnover rates among medical personnel are leading to gaps in medical coverage.
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0930,Installation,10,F0930 - Receives adequate funding for facility requirements,Receives adequate funding for facility requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0940,Installation,10,F0940 - Receives adequate legal office support to meet mission requirements,Receives adequate legal office support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0950,Installation,10,F0950 - Receives adequate chaplain support to meet mission requirements,Receives adequate chaplain support to meet mission requirements,Y,
SSC,SLD 45,0001 RANGE OPERATIONS SQ 0000,Patrick Space Force Base,5SLCA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0960,Installation,10,F0960 - Receives adequate mental health support to meet mission requirements,Receives adequate mental health support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0110,Installation,10,F0110 - Receives adequate force support to meet mission requirements, Receives adequate force support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0111,Installation,10,F0111 - Receives adequate Special Security Office (SSO) support to meet mission requirements,Receives adequate Special Security Office (SSO) support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0120,Installation,10,F0120 - Receives adequate Contracting Office support to meet mission requirements, Receives adequate Contracting Office support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0130,Installation,10,F0130 - Receives adequate contractor support to meet mission requirements, Receives adequate contractor support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0411,Installation,10,F0411 - Is commercial power adequate to meet mission requirements, Is commercial power adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0412,Installation,10,F0412 - Is generator / UPS / back up power adequate to meet mission requirements, Is generator / UPS / back up power adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0413,Installation,10,F0413 - Is HVAC adequate to meet mission requirements, Is HVAC adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0414,Installation,10,F0414 - Is chiller sytem adequate to meet mission requirements, Is chiller sytem adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0421,Installation,10,F0421 - Receives adequate fire and emergency services support to meet mission requirements, Receives adequate fire and emergency services support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0430,Installation,10,F0430 - Is Facility adequate to meet mission requirements, Is Facility adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0431,Installation,10,F0431 - Is work space adequate to meet mission requirements, Is work space adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0432,Installation,10,F0432 - Is SCIF adequate to meet mission requirements, Is SCIF adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0433,Installation,10,F0433 - Is COOP or alternate facility adequate to meet mission requirements, Is COOP or alternate facility adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0441,Installation,10,F0441 - Receives adequate vehicle support to meet mission requirements, Receives adequate vehicle support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0450,Installation,10,F0450 - Receives adequate security and force protection support to meet mission requirements, Receives adequate security and force protection support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0600,Installation,10,F0600 - Receives adequate communications support to meet mission requirements, Receives adequate communications support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0601,Installation,10,F0601 - Receives adequate NIPR / SIPR / JWICS equipment and account support to meet mission requirements, Receives adequate NIPR / SIPR / JWICS equipment and account support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0602,Installation,10,F0602 - Receives adequate cyber defense support to meet mission requirements, Receives adequate cyber defense support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0910,Installation,10,F0910 - Are support agreements with outside agencies current and adequate to meet mission requirements, Are support agreements with outside agencies current and adequate to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0122,Installation,10,F0122 - Receives adequate finance support to meet mission requirements, Receives adequate finance support to meet mission requirements,N,F0122 -  Fianance office is only able to provide limited assistance until an MOU is established through HHQ. 
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0410,Installation,10,F0410 - Receives adequate civil engineering and real property support to meet mission requirements, Receives adequate civil engineering and real property support to meet mission requirements,N,F0130 - Contract personnel are not available during critical time frames due to differing work schedules.
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0422,Installation,10,F0422 - Is fire suppresion adequate to meet mission requirements, Is fire suppresion adequate to meet mission requirements,N,F0422 - Limited access to fire suppression supplies and spare parts is delaying necessary repairs.
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0440,Installation,10,F0440 - Receives adequate logistics readiness support to meet mission requirements, Receives adequate logistics readiness support to meet mission requirements,N,F0440 - Insufficient contingency planning is affecting the ability to respond to unexpected disruptions in the supply chain
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0900,Installation,10,F0900 - Receives adequate medical support to meet mission requirements, Receives adequate medical support to meet mission requirements,N,F0900 - Insufficient funding for medical support contracts is affecting the availability of third-party services.
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0930,Installation,10,F0930 - Receives adequate funding for facility requirements,Receives adequate funding for facility requirements,N,F0930 - Delays in receiving allocated funds.
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0940,Installation,10,F0940 - Receives adequate legal office support to meet mission requirements,Receives adequate legal office support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0950,Installation,10,F0950 - Receives adequate chaplain support to meet mission requirements,Receives adequate chaplain support to meet mission requirements,Y,
NSIC,NSIC,0001 SPACE ANALYSIS SQ 0000,Wright Patterson,PS3AA,Active,Force Generation,Core,SFSN.3.5.1.10,Recieve adequate support from base support agencies,SFSN.3.5.1.10 - Recieve adequate support from base support agencies,Recieve Installation Support,,F,F0960,Installation,10,F0960 - Receives adequate mental health support to meet mission requirements,Receives adequate mental health support to meet mission requirements,N,F0960 - Budget cuts affecting mental health programs.
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1110,Installation,10,F0110 - Provide adequate force support to meet mission requirements,Provide adequate force support to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1111,Installation,10,F0111 - Provide adequate Special Security Office (SSO) support to meet mission requirements,Provide adequate Special Security Office (SSO) support to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1120,Installation,10,F0120 - Provide adequate Contracting Office support to meet mission requirements,Provide adequate Contracting Office support to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1122,Installation,10,F0122 - Provide adequate finance support to meet mission requirements,Provide adequate finance support to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1130,Installation,10,F0130 - Provide adequate contractor support to meet mission requirements,Provide adequate contractor support to meet mission requirements,N,"F1120 - Due to recent budget cuts, the contracting office is unable to provide the necessary resources and support. We have escalated the matter to higher headquarters for additional funding"
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1410,Installation,10,F0410 - Provide adequate civil engineering and real property support to meet mission requirements,Provide adequate civil engineering and real property support to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1411,Installation,10,F0411 - Provide commercial power adequate to meet mission requirements,Provide commercial power adequate to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1412,Installation,10,F0412 - Provide generator / UPS / back up power adequate to meet mission requirements,Provide generator / UPS / back up power adequate to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1413,Installation,10,F0413 - Provide HVAC adequate to meet mission requirements,Provide HVAC adequate to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1414,Installation,10,F0414 - Provide chiller sytem adequate to meet mission requirements,Provide chiller sytem adequate to meet mission requirements,N,"F1414 - The chiller system is not equipped with modern energy-saving technologies, leading to high operational costs and inefficiencies."
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1421,Installation,10,F0421 - Provide adequate fire and emergency services support to meet mission requirements,Provide adequate fire and emergency services support to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1422,Installation,10,F0422 - Provide fire suppresion adequate to meet mission requirements,Provide fire suppresion adequate to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1430,Installation,10,F0430 - Provide Facilites adequate to meet mission requirements,Provide Facilities adequate to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1431,Installation,10,F0431 - Provide work space adequate to meet mission requirements,Provide work space adequate to meet mission requirements,Y,
SPOC,SBD 1,0001 SPACE BASE DE 0000,Peterson Space Force Base,9ABBA,Active,Force Generation,Core,SFSN.3.5.1.11,Provide adequate support from base support agencies,SFSN.3.5.1.10 - Provide adequate support to base support agencies,Provide Installation Support,,F,F1432,Installation,10,F0432 - Provide SCIF adequate to meet mission requirements,Provide SCIF adequate to meet mission requirements,Y,
