Index	Observation	Attribute	Value
139	Merc 450SL	qsec	17.6
140	Merc 450SL	vs	0
141	Merc 450SL	am	0
142	Merc 450SL	gear	3
143	Merc 450SL	carb	3
144	Merc 450SLC	mpg	15.2
145	Merc 450SLC	cyl	8
146	Merc 450SLC	disp	275.8
147	Merc 450SLC	hp	180
148	Merc 450SLC	drat	3.07
149	Merc 450SLC	wt	3.78
150	Merc 450SLC	qsec	18
151	Merc 450SLC	vs	0
152	Merc 450SLC	am	0
153	Merc 450SLC	gear	3
154	Merc 450SLC	carb	3
155	Cadillac Fleetwood	mpg	10.4
156	Cadillac Fleetwood	cyl	8
157	Cadillac Fleetwood	disp	472
158	Cadillac Fleetwood	hp	205
159	Cadillac Fleetwood	drat	2.93
160	Cadillac Fleetwood	wt	5.25
161	Cadillac Fleetwood	qsec	17.98
162	Cadillac Fleetwood	vs	0
163	Cadillac Fleetwood	am	0
164	Cadillac Fleetwood	gear	3
165	Cadillac Fleetwood	carb	4
166	Lincoln Continental	mpg	10.4
167	Lincoln Continental	cyl	8
168	Lincoln Continental	disp	460
169	Lincoln Continental	hp	215
170	Lincoln Continental	drat	3
171	Lincoln Continental	wt	5.424
172	Lincoln Continental	qsec	17.82
173	Lincoln Continental	vs	0
174	Lincoln Continental	am	0
175	Lincoln Continental	gear	3
176	Lincoln Continental	carb	4
177	Chrysler Imperial	mpg	14.7
178	Chrysler Imperial	cyl	8
179	Chrysler Imperial	disp	440
180	Chrysler Imperial	hp	230
181	Chrysler Imperial	drat	3.23
182	Chrysler Imperial	wt	5.345
183	Chrysler Imperial	qsec	17.42
184	Chrysler Imperial	vs	0
185	Chrysler Imperial	am	0
186	Chrysler Imperial	gear	3
187	Chrysler Imperial	carb	4
188	Fiat 128	mpg	32.4
189	Fiat 128	cyl	4
190	Fiat 128	disp	78.7
191	Fiat 128	hp	66
192	Fiat 128	drat	4.08
193	Fiat 128	wt	2.2
194	Fiat 128	qsec	19.47
195	Fiat 128	vs	1
196	Fiat 128	am	1
197	Fiat 128	gear	4
198	Fiat 128	carb	1
199	Honda Civic	mpg	30.4
200	Honda Civic	cyl	4
201	Honda Civic	disp	75.7
202	Honda Civic	hp	52
203	Honda Civic	drat	4.93
204	Honda Civic	wt	1.615
205	Honda Civic	qsec	18.52
206	Honda Civic	vs	1
207	Honda Civic	am	1
208	Honda Civic	gear	4
209	Honda Civic	carb	2
210	Toyota Corolla	mpg	33.9
211	Toyota Corolla	cyl	4
212	Toyota Corolla	disp	71.1
213	Toyota Corolla	hp	65
214	Toyota Corolla	drat	4.22
215	Toyota Corolla	wt	1.835
216	Toyota Corolla	qsec	19.9
217	Toyota Corolla	vs	1
218	Toyota Corolla	am	1
219	Toyota Corolla	gear	4
220	Toyota Corolla	carb	1
221	Toyota Corona	mpg	21.5
222	Toyota Corona	cyl	4
223	Toyota Corona	disp	120.1
224	Toyota Corona	hp	97
225	Toyota Corona	drat	3.7
226	Toyota Corona	wt	2.465
227	Toyota Corona	qsec	20.01
228	Toyota Corona	vs	1
229	Toyota Corona	am	0
230	Toyota Corona	gear	3
231	Toyota Corona	carb	1
232	Dodge Challenger	mpg	15.5
233	Dodge Challenger	cyl	8
234	Dodge Challenger	disp	318
235	Dodge Challenger	hp	150
236	Dodge Challenger	drat	2.76
237	Dodge Challenger	wt	3.52
238	Dodge Challenger	qsec	16.87
239	Dodge Challenger	vs	0
240	Dodge Challenger	am	0
241	Dodge Challenger	gear	3
242	Dodge Challenger	carb	2
243	AMC Javelin	mpg	15.2
244	AMC Javelin	cyl	8
245	AMC Javelin	disp	304
246	AMC Javelin	hp	150
247	AMC Javelin	drat	3.15
248	AMC Javelin	wt	3.435
249	AMC Javelin	qsec	17.3
250	AMC Javelin	vs	0
251	AMC Javelin	am	0
252	AMC Javelin	gear	3
253	AMC Javelin	carb	2
254	Camaro Z28	mpg	13.3
255	Camaro Z28	cyl	8
256	Camaro Z28	disp	350
257	Camaro Z28	hp	245
258	Camaro Z28	drat	3.73
259	Camaro Z28	wt	3.84
260	Camaro Z28	qsec	15.41
261	Camaro Z28	vs	0
262	Camaro Z28	am	0
263	Camaro Z28	gear	3
264	Camaro Z28	carb	4
265	Pontiac Firebird	mpg	19.2
266	Pontiac Firebird	cyl	8
267	Pontiac Firebird	disp	400
268	Pontiac Firebird	hp	175
269	Pontiac Firebird	drat	3.08
270	Pontiac Firebird	wt	3.845
271	Pontiac Firebird	qsec	17.05
272	Pontiac Firebird	vs	0
273	Pontiac Firebird	am	0
274	Pontiac Firebird	gear	3
275	Pontiac Firebird	carb	2
276	Fiat X1-9	mpg	27.3
277	Fiat X1-9	cyl	4
278	Fiat X1-9	disp	79
279	Fiat X1-9	hp	66
280	Fiat X1-9	drat	4.08
281	Fiat X1-9	wt	1.935
282	Fiat X1-9	qsec	18.9
283	Fiat X1-9	vs	1
284	Fiat X1-9	am	1
285	Fiat X1-9	gear	4
286	Fiat X1-9	carb	1
287	Porsche 914-2	mpg	26
288	Porsche 914-2	cyl	4
289	Porsche 914-2	disp	120.3
290	Porsche 914-2	hp	91
291	Porsche 914-2	drat	4.43
292	Porsche 914-2	wt	2.14
293	Porsche 914-2	qsec	16.7
294	Porsche 914-2	vs	0
295	Porsche 914-2	am	1
296	Porsche 914-2	gear	5
297	Porsche 914-2	carb	2
298	Lotus Europa	mpg	30.4
299	Lotus Europa	cyl	4
300	Lotus Europa	disp	95.1
301	Lotus Europa	hp	113
302	Lotus Europa	drat	3.77
303	Lotus Europa	wt	1.513
304	Lotus Europa	qsec	16.9
305	Lotus Europa	vs	1
306	Lotus Europa	am	1
307	Lotus Europa	gear	5
308	Lotus Europa	carb	2
309	Ford Pantera L	mpg	15.8
310	Ford Pantera L	cyl	8
311	Ford Pantera L	disp	351
312	Ford Pantera L	hp	264
313	Ford Pantera L	drat	4.22
314	Ford Pantera L	wt	3.17
315	Ford Pantera L	qsec	14.5
316	Ford Pantera L	vs	0
317	Ford Pantera L	am	1
318	Ford Pantera L	gear	5
319	Ford Pantera L	carb	4
320	Ferrari Dino	mpg	19.7
321	Ferrari Dino	cyl	6
322	Ferrari Dino	disp	145
323	Ferrari Dino	hp	175
324	Ferrari Dino	drat	3.62
325	Ferrari Dino	wt	2.77
326	Ferrari Dino	qsec	15.5
327	Ferrari Dino	vs	0
328	Ferrari Dino	am	1
329	Ferrari Dino	gear	5
330	Ferrari Dino	carb	6
331	Maserati Bora	mpg	15
332	Maserati Bora	cyl	8
333	Maserati Bora	disp	301
334	Maserati Bora	hp	335
335	Maserati Bora	drat	3.54
336	Maserati Bora	wt	3.57
337	Maserati Bora	qsec	14.6
338	Maserati Bora	vs	0
339	Maserati Bora	am	1
340	Maserati Bora	gear	5
341	Maserati Bora	carb	8
342	Volvo 142E	mpg	21.4
343	Volvo 142E	cyl	4
344	Volvo 142E	disp	121
345	Volvo 142E	hp	109
346	Volvo 142E	drat	4.11
347	Volvo 142E	wt	2.78
348	Volvo 142E	qsec	18.6
349	Volvo 142E	vs	1
350	Volvo 142E	am	1
351	Volvo 142E	gear	4
352	Volvo 142E	carb	2
